Expression	Value	Location	Type	
[220]	'\0' (0x00)	0x000146	char	
[221]	'\0' (0x00)	0x000147	char	
[222]	'\0' (0x00)	0x000148	char	
[223]	'\0' (0x00)	0x000149	char	
[224]	'\0' (0x00)	0x00014A	char	
[225]	'\0' (0x00)	0x00014B	char	
[226]	'\0' (0x00)	0x00014C	char	
[227]	'\0' (0x00)	0x00014D	char	
[228]	'\0' (0x00)	0x00014E	char	
[229]	'\0' (0x00)	0x00014F	char	
[230]	'\0' (0x00)	0x000150	char	
[231]	'\0' (0x00)	0x000151	char	
[232]	'\0' (0x00)	0x000152	char	
[233]	'\0' (0x00)	0x000153	char	
[234]	'\0' (0x00)	0x000154	char	
[235]	'\0' (0x00)	0x000155	char	
[236]	'\0' (0x00)	0x000156	char	
[237]	'\0' (0x00)	0x000157	char	
[238]	'\0' (0x00)	0x000158	char	
[239]	'\0' (0x00)	0x000159	char	
[240]	'\0' (0x00)	0x00015A	char	
[241]	'\0' (0x00)	0x00015B	char	
[242]	'\0' (0x00)	0x00015C	char	
[243]	'\0' (0x00)	0x00015D	char	
[244]	'\0' (0x00)	0x00015E	char	
[245]	'\0' (0x00)	0x00015F	char	
[246]	'\0' (0x00)	0x000160	char	
[247]	'\0' (0x00)	0x000161	char	
[248]	'\0' (0x00)	0x000162	char	
[249]	'\0' (0x00)	0x000163	char	
[250]	'\0' (0x00)	0x000164	char	
[251]	'\0' (0x00)	0x000165	char	
[252]	'\0' (0x00)	0x000166	char	
[253]	'\0' (0x00)	0x000167	char	
[254]	'\0' (0x00)	0x000168	char	
AT_READ_SMS	<array>"AT+CMGR=4AT+CMGS="+84975738366"waterNuoc khong du an toan de..."	0x00001B	char[9]	
[0]	'A' (0x41)	0x00001B	char	
[1]	'T' (0x54)	0x00001C	char	
[2]	'+' (0x2B)	0x00001D	char	
[3]	'C' (0x43)	0x00001E	char	
[4]	'M' (0x4D)	0x00001F	char	
[5]	'G' (0x47)	0x000020	char	
[6]	'R' (0x52)	0x000021	char	
[7]	'=' (0x3D)	0x000022	char	
[8]	'4' (0x34)	0x000023	char	
AT_SDT	<array>"AT+CMGS="+84975738366"waterNuoc khong du an toan de uong, th..."	0x000024	char[22]	
[0]	'A' (0x41)	0x000024	char	
[1]	'T' (0x54)	0x000025	char	
[2]	'+' (0x2B)	0x000026	char	
[3]	'C' (0x43)	0x000027	char	
[4]	'M' (0x4D)	0x000028	char	
[5]	'G' (0x47)	0x000029	char	
[6]	'S' (0x53)	0x00002A	char	
[7]	'=' (0x3D)	0x00002B	char	
[8]	'"' (0x22)	0x00002C	char	
[9]	'+' (0x2B)	0x00002D	char	
[10]	'8' (0x38)	0x00002E	char	
[11]	'4' (0x34)	0x00002F	char	
[12]	'9' (0x39)	0x000030	char	
[13]	'7' (0x37)	0x000031	char	
[14]	'5' (0x35)	0x000032	char	
[15]	'7' (0x37)	0x000033	char	
[16]	'3' (0x33)	0x000034	char	
[17]	'8' (0x38)	0x000035	char	
[18]	'3' (0x33)	0x000036	char	
[19]	'6' (0x36)	0x000037	char	
[20]	'6' (0x36)	0x000038	char	
[21]	'"' (0x22)	0x000039	char	
activated_code	<array>"waterNuoc khong du an toan de uong, thay loi locAT+CMGS="+84..."	0x00003A	char[5]	
[0]	'w' (0x77)	0x00003A	char	
[1]	'a' (0x61)	0x00003B	char	
[2]	't' (0x74)	0x00003C	char	
[3]	'e' (0x65)	0x00003D	char	
[4]	'r' (0x72)	0x00003E	char	
